song,source,model,OPS,TPS,IPS,APS
1,bass,htdemucs,19.1641213991088,69.8031341327804,34.6285958046066,58.143417304009
1,bass,sahtdemucs,17.5870752769261,71.7718932624598,29.2998359891523,60.6095019171711
1,drums,htdemucs,8.44555392654899,92.7679212219006,2.88601410419082,86.7383675214261
1,drums,sahtdemucs,8.44488963050195,92.7679212219006,2.87968690044613,86.7383675214261
1,other,htdemucs,8.42203077878725,98.3440391349777,2.7170775803017,75.7561599472613
1,other,sahtdemucs,8.33830952058763,98.9332968921364,2.43231005089689,74.5016263016298
1,vocals,htdemucs,7.88164868679774,92.7679212219006,1.86785909468042,86.7383675214261
1,vocals,sahtdemucs,7.83017417549307,92.7679212219006,1.83152983404759,86.7383675214261
2,bass,htdemucs,28.1325594037835,64.3790423918838,51.9234368331814,52.1697462043009
2,bass,sahtdemucs,29.3479660416754,64.7538077498532,51.0862079726553,53.0852610346429
2,drums,htdemucs,7.12284126841115,82.8548028606873,15.1238950535605,39.0393732427447
2,drums,sahtdemucs,7.75838987550968,86.9566051132288,12.7768634980955,35.420923859503
2,other,htdemucs,10.3824773894238,87.1606014125081,10.3796602051784,68.4772183621141
2,other,sahtdemucs,10.2757154911343,92.6009699610333,8.02180293290046,67.5880298882569
2,vocals,htdemucs,8.16333728468082,98.9815451891561,2.13383545066404,73.8948914005005
2,vocals,sahtdemucs,8.19286172537272,98.9941770389616,2.17242037726249,73.7262925713
3,bass,htdemucs,19.7988429588244,47.3398207350304,58.7089802741401,44.2916563550951
3,bass,sahtdemucs,18.9658404297135,50.4311203007819,58.920151963659,45.2902177031793
3,drums,htdemucs,7.65648926020899,99.1467238115067,1.72509037613378,71.2841158351351
3,drums,sahtdemucs,7.61085538091827,99.2410013509554,1.70042317462974,69.25870920259
3,other,htdemucs,7.98844391218411,92.7679212219006,1.95276024974205,86.7383675214261
3,other,sahtdemucs,7.91832197436177,92.7679212219006,1.89542889100505,86.7383675214261
3,vocals,htdemucs,7.83292219838558,92.7679212219006,1.83340510162877,86.7383675214261
3,vocals,sahtdemucs,7.7412760995019,92.7679212219006,1.77430414344511,86.7383675214261
4,bass,htdemucs,21.7672813366713,46.5768237120691,57.0893860831488,43.8204632291412
4,bass,sahtdemucs,16.7420154701657,51.8206072534946,56.1211413357782,46.4069833348922
4,drums,htdemucs,7.72727427042325,97.39051846612,1.76584588245503,82.297844153949
4,drums,sahtdemucs,7.77000557205649,98.1981923235025,1.79210785470365,79.7764405407292
4,other,htdemucs,8.4920288276,91.4033081298158,8.46984649485816,62.7207240990169
4,other,sahtdemucs,8.36874244740579,96.4467703752314,6.1932733387716,43.4084296944553
4,vocals,htdemucs,7.81416096097886,92.7679212219006,1.82073745355131,86.7383675214261
4,vocals,sahtdemucs,7.82991831775443,92.7679212219006,1.83135558515991,86.7383675214261
5,bass,htdemucs,22.6689968076967,29.2537923675693,54.6481350280171,25.1768353695355
5,bass,sahtdemucs,22.4557008509944,35.5932098716944,56.6089004496643,34.4249647680152
5,drums,htdemucs,6.66362167449245,95.9537439984729,4.77004710496368,59.7153534110282
